provnum,state,market,cluster,provname,mdscensus,hrs_cna_ctr,hrs_lpn_ctr,hrs_rn_ctr,cna_ctr/census,lpn_ctr/census,rn_ctr/census,state_cna_ctr/census,state_lpn_ctr/census,state_rn_ctr/census,market_cna_ctr/census,market_lpn_ctr/census,market_rn_ctr/census,cna_above_state,ensign_cna_ctr/census,ensign_lpn_ctr/census,ensign_rn_ctr/census,lpn_above_state,rn_above_state,cna_above_market,lpn_above_market,rn_above_market,cna_above_ensign,lpn_above_ensign,rn_above_ensign,state_cna_diff,state_lpn_diff,state_rn_diff,market_cna_diff,market_lpn_diff,market_rn_diff,ensign_cna_diff,ensign_lpn_diff,ensign_rn_diff
065100,CO,Endura Market,Southern Peaks,ROCK CANYON RESPIRATORY AND REHABILITATION CENTER,352.63978494623655,0.0,0.0,0.0,0.0,0.0,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.1064389322756707,-0.0501942306068414,-0.0390138367340529,-0.1292367682239655,-0.0260820134183263,-0.0303070982529599,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
065322,CO,Endura Market,Mile High Crush,JULIA TEMPLE HEALTHCARE CENTER,360.9258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.1064389322756707,-0.0501942306068414,-0.0390138367340529,-0.1292367682239655,-0.0260820134183263,-0.0303070982529599,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
065320,CO,Endura Market,Hat Trick,LITTLETON CARE AND REHABILITATION CENTER,100.26666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.1064389322756707,-0.0501942306068414,-0.0390138367340529,-0.1292367682239655,-0.0260820134183263,-0.0303070982529599,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
065283,CO,Endura Market,Rocky Mountain A.I.R.,RIDGEVIEW POST ACUTE,289.6268817204301,0.0,12.0,12.48,0.0,0.0414326181627826,0.0430899228892939,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,True,False,True,True,False,True,True,-0.1064389322756707,-0.008761612444058806,0.004076086155241,-0.1292367682239655,0.015350604744456299,0.012782824636333998,-0.054266176474839535,0.022527560796865704,0.028761195024615258
675081,TX,Keystone North Texas,TNT,GOLDEN ACRES LIVING AND REHABILITATION CENTER,415.0612903225806,245.3,23.5,0.0,0.5909970544575618,0.056618144230545,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,True,False,False,True,True,False,0.5201710563569926,0.015746389525956,-0.0063546175629083,0.4865572398701,-0.011925705924187895,-0.0110278194901377,0.5367308779827222,0.03771308686462811,-0.014328727864678642
455727,TX,Keystone North Texas,TNT,PARK MANOR HEALTH CARE AND REHABILITATION,226.7924731182796,119.75,91.0,0.0,0.5280157597538367,0.4012478842388238,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,True,True,False,True,True,False,0.4571897616532675,0.3603761295342348,-0.0063546175629083,0.423575945166375,0.3327040340840909,-0.0110278194901377,0.4737495832789972,0.3823428268729069,-0.014328727864678642
675560,TX,Keystone North Texas,Prestige WorldWide,LAKE VILLAGE NURSING AND REHABILITATION CENTER,177.03763440860214,46.0,55.25,6.0,0.2598317592395761,0.3120805369127516,0.033891099031249,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,True,True,True,True,True,True,0.18900576113900686,0.27120878220816264,0.027536481468340698,0.15539194465211428,0.2435366867580187,0.022863279541111295,0.20556558276473655,0.2931754795468347,0.019562371166570357
675808,TX,Keystone North Texas,TNT,WINDSOR REHABILITATION AND HEALTHCARE,168.99462365591398,23.0,25.08,0.0,0.1360990042312219,0.1484070880921324,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,True,True,False,True,True,False,0.06527300613065269,0.1075353333875434,-0.0063546175629083,0.031659189643760105,0.07986323793739951,-0.0110278194901377,0.08183282775638237,0.12950203072621552,-0.014328727864678642
675611,TX,Keystone North Texas,TNT,THE VILLAGES OF DALLAS,312.2870967741935,37.33,0.0,0.0,0.1195374397008542,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,False,False,True,False,False,0.048711441600284996,-0.040871754704589,-0.0063546175629083,0.01509762511339241,-0.0685438501547329,-0.0110278194901377,0.06527126322601468,-0.018905057365916893,-0.014328727864678642
676049,TX,Keystone North Texas,C3,LEGEND HEALTHCARE AND REHABILITATION - PARIS,164.69247311827957,18.0,24.42,8.0,0.1092946123109869,0.1482763573685722,0.0485753832493275,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,True,True,True,True,True,True,0.038468614210417695,0.10740460266398319,0.04222076568641921,0.004854797723525109,0.0797325072138393,0.0375475637591898,0.05502843583614737,0.12937130000265532,0.03424665538464886
675889,TX,Keystone North Texas,The Legends,PLEASANT MANOR HEALTHCARE REHABILITATION,192.86344086021504,16.0,17.59,11.18,0.0829602537870129,0.0912044290070973,0.0579684773336752,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,False,True,True,True,True,True,0.01213425568644369,0.0503326743025083,0.05161385977076691,-0.021479560800448896,0.022660578852364402,0.0469406578435375,0.028694077312173362,0.0722993716411804,0.04363974946899656
675597,TX,Keystone North Texas,TNT,CRESTWOOD HEALTH AND REHABILITATION CENTER,159.17096774193547,12.0,23.0,0.0,0.0753906329165231,0.1444987130900026,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,False,True,False,True,True,False,0.0045646348159539,0.10362695838541358,-0.0063546175629083,-0.029049181670938687,0.07595486293526969,-0.0110278194901377,0.02112445644168357,0.1255936557240857,-0.014328727864678642
675111,TX,Keystone North Texas,Prestige WorldWide,HERITAGE GARDENS REHABILITATION AND HEALTHCARE,166.78064516129032,7.25,0.0,0.0,0.0434702719430582,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.027355726157511008,-0.040871754704589,-0.0063546175629083,-0.060969542644403595,-0.0685438501547329,-0.0110278194901377,-0.010795904531781336,-0.018905057365916893,-0.014328727864678642
676395,TX,Keystone North Texas,Prestige WorldWide,THE HEALTHCARE RESORT OF PLANO,173.67741935483872,3.5,0.0,12.0,0.0201523031203566,0.0,0.0690936106983655,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,True,False,False,True,False,False,True,-0.05067369498021261,-0.040871754704589,0.06273899313545721,-0.0842875114671052,-0.0685438501547329,0.0580657912082278,-0.03411387335448293,-0.018905057365916893,0.05476488283368686
675579,TX,Keystone North Texas,Catalysts,BEACON HARBOR HEALTHCARE AND REHABILITATION,349.3236559139785,6.5,0.0,0.0,0.0186073857007858,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.052218612399783405,-0.040871754704589,-0.0063546175629083,-0.085832428886676,-0.0685438501547329,-0.0110278194901377,-0.035658790774053734,-0.018905057365916893,-0.014328727864678642
676190,TX,Keystone North Texas,C3,STILLHOUSE REHABILITATION AND HEALTHCARE CENTER,238.21935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676253,TX,Keystone North Texas,The Legends,LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS,216.26666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
675272,TX,Keystone North Texas,C3,WILLOWBEND NURSING AND REHABILITATION CENTER,340.47956989247314,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676413,TX,Keystone North Texas,Catalysts,LEGEND OAKS HEALTHCARE AND REHABILITATION GARLAND,237.0935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676421,TX,Keystone North Texas,The Legends,LEGEND OAKS HEALTHCARE AND REHABILITATION -WAXAHAC,274.9924731182796,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
675972,TX,Keystone North Texas,Prestige WorldWide,CARROLLTON HEALTH AND REHABILITATION CENTER,225.6956989247312,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
675774,TX,Keystone North Texas,Catalysts,LEGEND HEALTHCARE AND REHABILITATION - GREENVILLE,233.06236559139785,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455904,TX,Keystone North Texas,Catalysts,ROWLETT HEALTH AND REHABILITATION CENTER,388.0419354838709,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.1044398145874618,0.0685438501547329,0.0110278194901377,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.1044398145874618,-0.0685438501547329,-0.0110278194901377,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455754,TX,South Central Keystone,Missions,NORTHEAST REHABILITATION AND HEALTHCARE CENTER,231.91505376344088,56.18,26.68,13.48,0.2422438694182612,0.1150421223937203,0.0581247305047732,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,True,True,True,True,True,True,0.17141787131769198,0.0741703676891313,0.0517701129418649,0.2076961598621006,0.0986017667989016,0.054249748471121705,0.18797769294342168,0.0961370650278034,0.04379600264009456
676158,TX,South Central Keystone,Texas Strong,SONTERRA HEALTH CENTER,243.7247311827957,24.67,0.0,0.0,0.1012207496558783,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,False,False,True,False,False,0.030394751555309088,-0.040871754704589,-0.0063546175629083,0.0666730400997177,-0.0164403555948187,-0.0038749820336515,0.04695457318103876,-0.018905057365916893,-0.014328727864678642
676250,TX,South Central Keystone,Navigators,PECAN VALLEY REHABILITATION AND HEALTHCARE,254.1720430107527,24.78,19.9,0.0,0.0974930197140198,0.0782934258397495,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,True,True,False,True,True,False,0.026667021613450595,0.037421671135160504,-0.0063546175629083,0.0629453101578592,0.06185307024493081,-0.0038749820336515,0.04322684323918027,0.05938836847383261,-0.014328727864678642
455969,TX,South Central Keystone,Texas Strong,PATRIOT HEIGHTS HEALTH CARE CENTER,144.5494623655914,7.55,0.0,0.0,0.0522312561834695,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,False,False,False,False,False,-0.018594741917099707,-0.040871754704589,-0.0063546175629083,0.0176835466273089,-0.0164403555948187,-0.0038749820336515,-0.002034920291370035,-0.018905057365916893,-0.014328727864678642
676113,TX,South Central Keystone,Navigators,LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER -,298.48064516129034,7.47,15.9,0.0,0.025026748370781,0.053269785688811,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,False,True,False,False,True,False,-0.0457992497297882,0.012398030984222,-0.0063546175629083,-0.009520961185379598,0.036829430093992296,-0.0038749820336515,-0.029239428104058534,0.03436472832289411,-0.014328727864678642
676281,TX,South Central Keystone,Texas Strong,WESTOVER HILLS REHABILITATION AND HEALTHCARE,237.36881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676312,TX,South Central Keystone,Texas Strong,LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST S,274.5795698924731,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676331,TX,South Central Keystone,Navigators,HUNTERS POND REHABILITATION AND HEALTHCARE,256.294623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676042,TX,South Central Keystone,Los Bandidos,MCALLEN TRANSITIONAL CARE CENTER,189.1731182795699,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
675933,TX,South Central Keystone,Los Vaqueros,TREASURE HILLS HEALTHCARE AND REHABILITATION CENTE,232.6301075268817,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
675509,TX,South Central Keystone,Missions,PARKLANE WEST HEALTHCARE CENTER,264.2182795698925,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455925,TX,South Central Keystone,Los Vaqueros,VERANDA REHABILITATION AND HEALTHCARE,224.35161290322583,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455689,TX,South Central Keystone,Missions,SAN PEDRO MANOR,190.51612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455625,TX,South Central Keystone,Los Vaqueros,ALTA VISTA REHABILITATION AND HEALTHCARE,248.27741935483868,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
455672,TX,South Central Keystone,Los Vaqueros,GOLDEN PALMS RETIREMENT AND HEALTH CENTER,126.33870967741936,0.0,0.0,0.0,0.0,0.0,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0345477095561606,0.0164403555948187,0.0038749820336515,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,False,False,False,False,False,-0.0708259981005692,-0.040871754704589,-0.0063546175629083,-0.0345477095561606,-0.0164403555948187,-0.0038749820336515,-0.054266176474839535,-0.018905057365916893,-0.014328727864678642
676048,TX,Keystone East,Dominators,LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER G,203.48494623655915,46.5,6.0,0.0,0.22851813296273,0.0294862107048683,0.0,0.0708259981005692,0.040871754704589,0.0063546175629083,0.0376746684256764,0.0137460767194996,0.0294530344179579,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,True,False,True,True,False,0.15769213486216077,-0.0113855439997207,-0.0063546175629083,0.1908434645370536,0.0157401339853687,-0.0294530344179579,0.17425195648789046,0.010581153338951408,-0.014328727864678642
